273158-273301	289104	0-1463029161
273302-273445	330022	1463105616-1463240323
273446-273491	397734	1463256413-1463297458
273492-273502	339083	1463389716-1463451911
273503-273727	913047	1463452284-1463769251
273728-274093	416412	1463770944-1463823202
274094-274171	335127	1464315658-1464464804
274172-274199	327451	1464482739-1464569226
274200-274243	770264	1464569626-1464646821
274244-274249	239759	1464647870-1464661693
274250-274250	308441	1464674153-1464690452
274251-274285	329325	1464690652-1464756985
274286-274315	330698	1464757456-1464805013
274316-274316	428209	1464805224-1464827568
274317-274335	553217	1464827992-1464880630
274336-274338	326398	1464881101-1464898333
274339-274344	303684	1464898538-1464917556
274345-274419	1129530	1464917864-1465031982
274420-274439	1229792	1465071462-1465135457
274440-274441	399181	1465155189-1465174828
274442-274953	338780	1465175107-1465192637
274954-274968	680345	1465638105-1465713263
274969-274969	472565	1465713713-1465737068
274970-274997	380354	1465737173-1465759505
274998-274998	373639	1465791606-1465808335
274999-274999	594686	1465808684-1465837605
275000-275058	798724	1465838133-1465889604
275059-275067	303496	1465923010-1465938034
275068-275072	453077	1465938354-1465959670
275073-275123	523461	1465961566-1465988900
275124-275281	655660	1466013073-1466043874
275282-275291	331573	1466121974-1466145783
275292-275309	418954	1466146005-1466184414
275310-275310	789241	1466184771-1466229724
275311-275318	390744	1466230026-1466259235
275319-275343	539993	1466276205-1466307457
275344-275369	339171	1466324325-1466339359
275370-275374	449413	1466353203-1466373472
275375-275375	644051	1466389030-1466419862
275376-275656	1133194	1466420102-1466492273
275657-275758	301848	1466739151-1466827232
275759-275775	340097	1466827530-1466845440
275776-275780	387822	1466845882-1466863894
275781-275827	390169	1466865005-1466883667
275828-275832	357818	1466955631-1466970023
275833-275834	321432	1466970305-1466983274
275835-275836	645915	1466983462-1467014046
275837-275840	308917	1467014350-1467031296
275841-275885	774624	1467033455-1467088736
275886-275910	811287	1467103237-1467138555
275911-275912	402631	1467165013-1467180802
275913-275919	412831	1467181194-1467200986
275920-275962	330447	1467201399-1467220156
275963-276241	430772	1467248594-1467354278
276242-276242	881042	1467468346-1467507122
276243-276281	757670	1467507408-1467550240
276282-276282	501951	1467569733-1467594585
276283-276314	417527	1467594861-1467620158
276315-276354	383466	1467631160-1467652259
276355-276362	371017	1467668387-1467691171
276363-276383	510661	1467691655-1467726186
276384-276436	307772	1467726433-1467752440
276437-276453	855776	1467773959-1467823531
276454-276500	327071	1467828493-1467894693
276501-276501	924340	1467895667-1467954950
276502-276526	1191423	1467955290-1468052715
276527-276542	502598	1468053280-1468100195
276543-276543	350948	1468100379-1468122570
276544-276582	640778	1468122843-1468182638
276583-276586	342706	1468182867-1468210220
276587-276654	473384	1468210422-1468293513
276655-276658	387638	1468293986-1468319749
276659-276775	557095	1468319952-1468385866
276776-276793	573624	1468386148-1468428638
276794-276809	680134	1468429518-1468490918
276810-276811	887627	1468491343-1468558279
