273158-273724	101046	1462999438-1463562182
273725-274093	70972	1463711869-1463823200
274094-274243	114621	1464315659-1464646820
274244-274315	94929	1464647870-1464805012
274316-274338	110208	1464805225-1464898330
274339-274419	114986	1464898538-1465031982
274420-274439	98986	1465071462-1465135457
274440-274968	115046	1465155191-1465713262
274969-274998	94050	1465713713-1465808329
274999-275058	106274	1465808684-1465889604
275059-275123	102468	1465923014-1465988899
275124-275308	93881	1466013073-1466153731
275309-275310	84747	1466171319-1466229723
275311-275369	104631	1466230027-1466339359
275370-275375	93174	1466353205-1466419862
275376-275656	91667	1466420102-1466492272
275657-275831	97447	1466739153-1466883649
275832-275836	94877	1466961482-1467014044
275837-275889	82697	1467014350-1467104095
275890-275912	94467	1467106064-1467180802
275913-276241	92019	1467181195-1467354268
276242-276243	92817	1467468346-1467521605
276244-276314	134200	1467522304-1467620143
276315-276362	81414	1467631161-1467691171
276363-276436	90229	1467691655-1467752439
276437-276453	93014	1467773959-1467823531
276454-276501	142699	1467828494-1467954950
276502-276526	131947	1467955308-1468052715
276527-276544	100656	1468053280-1468126543
276545-276586	103437	1468126771-1468210220
276587-276658	96012	1468210422-1468319749
276659-276793	125922	1468319953-1468428637
276794-276810	84624	1468429519-1468498013
276811-276830	83453	1468498533-1468558279
276831-276833	106103	1468568895-1468630372
276834-276934	157484	1468633329-1468746340
276935-276949	76337	1468798834-1468851058
276950-277069	104392	1468851404-1468957956
277070-277086	114624	1468958050-1469025529
277087-277111	139507	1469036961-1469136265
277112-277167	97866	1469136574-1469219285
277168-277193	91899	1469219705-1469284362
277194-277980	140491	1469298310-1469481983
277981-278166	84334	1470052449-1470133850
278167-278238	94402	1470249556-1470317515
278239-278307	94306	1470353008-1470433609
278308-278314	103436	1470488460-1470547380
278315-278365	100253	1470567431-1470651891
278366-278508	91422	1470652606-1470713799
278509-278800	110470	1470767381-1471089118
278801-278819	111162	1471099441-1471158111
278820-278821	77387	1471172473-1471207806
278822-278968	172660	1471211566-1471408375
278969-278975	108984	1471418226-1471470787
278976-279587	90812	1471471095-1472102000
279588-279653	73132	1472159291-1472224648
279654-279666	92333	1472224917-1472278337
279667-279693	76419	1472288933-1472356682
279694-279714	108369	1472356988-1472409087
279715-279759	104358	1472421712-1472475557
279760-279766	114294	1472502114-1472558539
279767-279840	106366	1472558882-1472645446
279841-279843	103035	1472657029-1472704737
279844-279965	162981	1472714490-1472884769
279966-280014	95008	1472894464-1472960716
280015-280019	108199	1472961319-1473023077
280020-280241	90611	1473023713-1473145727
280242-280250	104090	1473176619-1473224907
280251-280384	153042	1473225298-1473411713
280385-281612	98026	1473412294-1473459428
281613-281706	120340	1474783497-1474960124
281707-281796	126091	1474969741-1475037247
281797-281974	105598	1475064371-1475112176
281975-282032	106099	1475205846-1475261428
282033-282091	95922	1475271116-1475317711
282092-282731	102449	1475416266-1476022898
282732-282799	108922	1476023049-1476079309
282800-282841	118700	1476109089-1476168952
282842-283058	99824	1476182094-1476343756
283059-283282	126253	1476345709-1476513241
283283-283307	101038	1476513489-1476585685
283308-283407	157321	1476586041-1476742054
283408-283415	120030	1476742297-1476801403
283416-283680	102266	1476803824-1477021805
283681-283829	98312	1477022222-1477117478
283830-283875	102145	1477117698-1477184898
283876-283883	108280	1477193995-1477244496
283884-283932	103723	1477266320-1477316147
283933-283945	79854	1477334033-1477367742
283946-284005	93656	1477380735-1477422068
