273158-274250   999053  1462999437-1464690452
274251-274439   1075951 1464690652-1465135457
274440-275067   979375  1465155190-1465938034
275068-275656   1529289 1465938354-1466492273
275657-275912   1015773 1466739152-1467180802
275913-276314   827904  1467181195-1467620144
276315-276524   998002  1467631161-1467972526
276525-276830   1616348 1467987323-1468558279
276831-277069   1003658 1468568895-1468957956
277070-277980   1284650 1468958049-1469481983
277981-278345   1010025 1470052448-1470632631
278346-278819   782715  1470632894-1471158114
278820-279115   1006557 1471172473-1471740375
279116-279715   975112  1471743373-1472436169
279716-281612   1304330 1472437026-1472884769
281613-282032   1052059 1474783497-1475261428
282033-282918   1002909 1475271116-1476238857
282919-283358   1020124 1476239070-1476688316
283359-283875   993511  1476688573-1477184899
