273158-273491	1014930	0-1463297458
273492-273727	1255074	1463389716-1463769251
273728-274199	1057836	1463770944-1464569226
274200-274249	1015368	1464569626-1464661693
274250-274316	1401605	1464674153-1464827568
274317-274344	1165616	1464827992-1464917556
274345-274419	1111730	1464917864-1465031982
274420-274439	1252806	1465071462-1465135457
274440-274968	1428151	1465155189-1465713221
274969-274998	1217729	1465713713-1465808335
274999-275058	1407897	1465808684-1465889604
275059-275073	1003066	1465923010-1465973607
275074-275283	1042789	1465973818-1466127248
275284-275310	1410301	1466127412-1466229724
275311-275344	1086212	1466230026-1466330848
275345-275375	1269068	1466331130-1466419862
275376-275656	1119489	1466420102-1466492273
275657-275831	1263024	1466739151-1466883650
275832-275836	1180676	1466961482-1467014046
275837-275885	1043406	1467014350-1467088714
275886-275911	1001165	1467103237-1467173802
275912-276241	1290169	1467174081-1467354268
276242-276243	1133361	1467468346-1467521605
276244-276314	1382683	1467522258-1467620144
276315-276383	1261865	1467631160-1467726186
276384-276453	1158203	1467726433-1467823531
276454-276501	1247218	1467828493-1467954950
276502-276526	1186003	1467955290-1468052715
276527-276581	1144721	1468053280-1468161978
276582-276654	1162135	1468162347-1468293513
276655-276793	1516984	1468293986-1468428638
276794-276830	1559905	1468429518-1468558279
276831-276869	1172790	1468568895-1468649865
276870-276934	1267194	1468666960-1468746340
276935-277068	1510509	1468798833-1468906254
277069-277086	1212463	1468950748-1469025530
277087-277111	1278727	1469036960-1469136345
277112-277179	1653923	1469136573-1469271512
277180-277980	1355487	1469281107-1469481984
277981-278174	1655510	1470052448-1470300153
278175-278307	1000565	1470300296-1470433609
278308-278314	1001310	1470488460-1470547382
278315-278405	1141601	1470567431-1470663165
278406-278768	1375003	1470676582-1470801550
278769-278819	1484594	1471070360-1471158114
278820-278872	1221737	1471172473-1471249493
278873-278962	1052359	1471303573-1471404036
278963-278975	1100646	1471404296-1471470789
278976-279652	1489585	1471471095-1472186331
279653-279666	1003812	1472220350-1472278339
279667-279714	1767623	1472288933-1472409087
279715-279765	1365228	1472421712-1472517491
279766-279822	1477086	1472519315-1472624331
279823-279843	1152153	1472637645-1472704737
279844-279965	1487545	1472714489-1472884769
279966-280015	1148349	1472894464-1472974821
280016-280190	1001420	1472974934-1473114314
280191-280250	1462014	1473115216-1473224907
280251-280363	1024797	1473225297-1473368808
280364-281612	1362664	1473368996-1473459429
281613-281706	1171449	1474783496-1474960125
281707-281796	1173446	1474969741-1475037247
281797-281975	1115543	1475064371-1475210835
281976-282091	1645443	1475210936-1475317712
282092-282733	1097812	1475416265-1476028904
282734-282806	1142494	1476029044-1476117857
282807-282917	1010156	1476118137-1476237425
282918-283269	1119308	1476237675-1476356213
283270-283304	1428111	1476470471-1476554136
283305-283357	1279052	1476567760-1476665075
283358-283415	1674469	1476665473-1476801541
283416-283684	1159886	1476803823-1477031904
283685-283834	1006686	1477032032-1477136635
283835-283876	1092404	1477136782-1477209357
283877-283932	1576533	1477209646-1477316148
283933-283963	1488409	1477334032-1477412801
283964-284044	1255103	1477413023-1477515494
