254227-254230	4906	0-1439441796
254231-254789	3581	1439442880-1439446536
254790-256629	118950	1440134723-1440559239
256630-256676	194791	1442406102-1442483882
256677-256733	305754	1442483942-1442561888
256734-256865	244061	1442563585-1442677198
256866-256868	116121	1442700188-1442714681
256869-256940	122115	1442714859-1442818921
256941-257397	115181	1442820600-1443070382
257398-257460	244317	1443070992-1443111301
257461-257489	250778	1443160286-1443206839
257490-257530	121703	1443207299-1443222135
257531-257613	330977	1443260269-1443358174
257614-257681	235577	1443358327-1443421154
257682-257803	195227	1443441576-1443513248
257804-257818	153059	1443533703-1443549795
257819-257822	322611	1443550310-1443589201
257823-258128	238467	1443589535-1443677442
258129-258158	454510	1443779813-1443838042
258159-258174	101334	1443838182-1443900567
258175-258210	462901	1443900801-1443953209
258211-258214	116610	1443977666-1443988990
258215-258319	135601	1443989268-1444083140
258320-258402	101720	1444083426-1444108626
258403-258427	129409	1444140606-1444164454
258428-258439	202143	1444164855-1444183640
258440-258442	165252	1444183830-1444200890
258443-258445	147022	1444201484-1444218585
258446-258654	157865	1444218758-1444239409
258655-258693	100256	1444389621-1444397685
258694-258702	157684	1444420546-1444470448
258703-258704	138656	1444470509-1444481572
258705-258711	227772	1444482092-1444501739
258712-258712	130942	1444502185-1444514378
258713-258744	275921	1444514598-1444593970
258745-259625	272149	1444594341-1445200770
259626-259680	136399	1445314942-1445347275
259681-259685	193140	1445393436-1445412957
259686-259808	152263	1445413253-1445472021
259809-259812	105586	1445563205-1445572186
259813-259821	146862	1445572527-1445587097
259822-259860	105297	1445587586-1445598426
259861-259883	193500	1445637860-1445654025
259884-260423	135917	1445704346-1446208785
260424-260424	205281	1446230409-1446246010
260425-260426	213879	1446246395-1446265086
260427-260531	188748	1446265545-1446283480
260532-260532	205830	1446351950-1446369328
260533-260535	106863	1446369863-1446379194
260536-260539	122732	1446379723-1446391215
260540-260576	162661	1446391447-1446425366
260577-260626	130537	1446425601-1446461620
260627-260627	512347	1446491188-1446531949
