190645-190781	28734   	1333819264-1333983242
190782-191042	24007		1334023525-1334188134
191043-191720	103662		1334239454-1334816663
191721-193833	113346		1334817079-1336460266
193834-194116	102640		1336636536-1336977480
194117-194427	119019		1336977992-1337357272
194428-194618	106419		1337358070-1337549938
194619-194789	100241		1337600609-1337810597
194790-195111	103609		1337811449-1338183927
195112-195377	104162		1338184276-1338472752
195378-195398	101460		1338551029-1338686536
195399-195657	101644		1338686774-1339039953
195658-195918	100174		1339043077-1339267809
195919-196198	103299		1339268074-1339543558
196199-196356	101121		1339543796-1339732300
196357-198115	147731		1339732922-1341230320
198116-198940	139400		1341250120-1341772775
198941-199317	131996		1342214860-1342424346
199318-199428	103127		1342759621-1342964431
199429-199697	137467		1342964735-1343199942
199698-199832	103076		1343268968-1343491978
199833-199960	104644		1343492358-1343693112
199961-200151	102813		1343693327-1343895195
200152-200490	128024		1343946255-1344410982
200491-200991	121999		1344421190-1345079290
200992-201201	100188		1345079749-1345335443
201202-201624	102351		1345335792-1345794556
201625-201707	109330		1345794810-1345992098
201708-202059	100621		1345992577-1346479177
202060-202204	121057		1346492178-1346731718
202205-202332	106574		1346761268-1347003730
202333-202972	104407		1347004663-1347747404
202973-203002   58677		1347747620-1347854472
203003-203852	0		0-0
203853-204099   103449		1348893072-1349173533
204100-204562   103992		1349210234-1349484356
204563-205085   124160		1349494802-1349657887
205086-205310   106140		1350145394-1350448274
205311-205617   105827		1350448630-1350710195
205618-205825   113451		1350710566-1350920518
205826-206207   112141		1350948240-1351370894
206208-206389   108390		1351371216-1351629414
206390-206483   101712		1351631388-1351832379
206484-206597   113313		1351842403-1352105601
206598-206896   107161		1352105792-1352336842
206897-207220   100312		1352379098-1352838059
207221-207315   104333		1352838542-1352984591
207316-207489   106638		1352993295-1353252873
207490-207919   128319		1353253092-1353855836
207920-208351   102829		1353867745-1354352749
208352-208686   152037		1354352980-1354753876
