273158-273445	116052	0-1463240323
273446-273493	108558	1463256413-1463401485
273494-273724	110656	1463401719-1463562182
273725-273727	144357	1463711869-1463769251
273728-274145	102163	1463770947-1464320903
274146-274199	145852	1464387080-1464569226
274200-274243	187496	1464569626-1464646821
274244-274250	133368	1464647870-1464690452
274251-274313	100520	1464690652-1464761046
274314-274316	175851	1464793435-1464827568
274317-274335	142556	1464827993-1464880630
274336-274344	155754	1464881101-1464917556
274345-274419	285154	1464917864-1465031982
274420-274439	307871	1465071462-1465135457
274440-274441	103134	1465155190-1465174828
274442-274968	248137	1465175108-1465713263
274969-274969	113686	1465713713-1465736982
274970-274998	184453	1465737176-1465808335
274999-274999	143459	1465808684-1465837605
275000-275058	197813	1465838134-1465889604
275059-275072	185520	1465923011-1465959670
275073-275123	128038	1465961566-1465988900
275124-275281	162562	1466013073-1466043874
275282-275308	118585	1466121974-1466153731
275309-275310	266190	1466171319-1466229724
275311-275336	117310	1466230026-1466279470
275337-275343	115121	1466285163-1466307457
275344-275370	121395	1466324325-1466359803
275371-275375	232889	1466360209-1466419862
275376-275376	285682	1466420102-1466492273
