254231-254907	12647	0-1440350152
256630-256728	18178	0-1442495177
256729-256733	50156	1442521529-1442561885
256734-256842	12264	1442563585-1442645928
257613-257613	59435	0-1443358173
257614-257681	49928	1443358327-1443421119
257682-257734	16280	1443441576-1443464945
257735-257803	21970	1443477929-1443513223
257804-257818	32779	1443533703-1443549795
257819-257968	25346	1443550310-1443662538
257969-258128	30898	1443662647-1443677425
258129-258158	94178	1443779813-1443838042
258159-258176	20345	0-1443849859
258177-258210	84309	1443903687-1443948886
258211-258214	25478	1443977679-1443988990
258215-258424	22961	1443989268-1444146437
258425-258431	24025	1444157425-1444168560
258432-258439	24414	1444172671-1444183638
258440-258443	35450	1444183831-1444200890
258444-258447	20893	1444208443-1444222061
258448-258654	28789	1444222407-1444239402
258655-258693	20754	1444389621-1444397670
258694-258702	35727	1444420547-1444470448
258703-258704	25349	1444470509-1444479576
258705-258711	47895	1444482092-1444501739
258712-258712	27825	1444502185-1444514378
258713-258741	15277	1444514599-1444577536
258742-258744	46758	1444577858-1444593969
258745-258748	16523	1444594341-1444600379
258749-258749	35092	1444601331-1444615387
258750-258750	11133	1444615693-1444620283
