273158-273445	106390	1462999437-1463240323
273446-273493	99309	1463256413-1463401485
273494-273724	101096	1463401719-1463562182
273725-273727	132063	1463711869-1463769251
273728-274093	85778	1463770947-1463823201
274094-274171	103848	1464315659-1464464804
274172-274240	137194	1464482740-1464618654
274241-274243	110241	1464619415-1464646821
274244-274250	123134	1464647870-1464690452
274251-274315	151251	1464690652-1464805012
274316-274316	103014	1464805224-1464827568
274317-274335	131096	1464827993-1464880630
274336-274343	84433	1464881101-1464900682
274344-274387	123415	1464902945-1464989194
274388-274421	259254	1464989556-1465083634
274422-274439	223488	1465084010-1465135457
274440-274441	94632	1465155190-1465174828
274442-274967	85023	1465175108-1465640830
274968-274968	143156	1465685481-1465713263
274969-274969	105209	1465713713-1465736982
274970-274997	86826	1465737176-1465759505
274998-274998	83053	1465791606-1465808335
274999-274999	132470	1465808684-1465837605
275000-275067	249006	1465838134-1465938034
275068-275072	104383	1465938354-1465959670
275073-275123	118536	1465961566-1465988900
275124-275281	149230	1466013073-1466043874
275282-275309	171492	1466121974-1466184414
275310-275310	183183	1466184772-1466229724
275311-275336	108427	1466230026-1466279470
275337-275343	105522	1466285165-1466307457
275344-275374	176438	1466324325-1466373471
275375-275375	147894	1466389031-1466419862
275376-275656	264184	1466420102-1466492273
275657-275775	105463	1466739152-1466845438
275776-275781	85040	1466845882-1466863894
275782-275831	81004	1466865888-1466883649
275832-275834	115392	1466961482-1466983274
275835-275846	208968	1466983462-1467031274
275847-275885	168114	1467035961-1467088713
275886-275910	167751	1467103237-1467138535
275911-275912	84041	1467165013-1467180802
275913-275919	88629	1467181195-1467200974
275920-276241	156445	1467201400-1467354268
276242-276243	250099	1467468346-1467521605
276244-276281	106935	1467522260-1467550228
276282-276282	119892	1467569733-1467594585
276283-276314	105904	1467594861-1467620144
276315-276360	97956	1467631161-1467669152
276361-276362	89527	1467671774-1467691171
276363-276383	131631	1467691655-1467726186
276384-276436	80500	1467726433-1467752440
276437-276453	214511	1467773959-1467823531
276454-276500	84523	1467828494-1467894693
276501-276524	299354	1467895667-1467972526
276525-276526	251285	1467987323-1468052715
276527-276542	125332	1468053280-1468100032
276543-276581	163483	1468100379-1468161978
276582-276584	93735	1468162348-1468184402
276585-276586	84032	1468186280-1468210220
276587-276654	121370	1468210422-1468293513
276655-276658	100169	1468293986-1468319749
276659-276775	139633	1468319953-1468385828
276776-276793	149594	1468386148-1468428637
276794-276807	74752	1468429518-1468470261
276808-276810	119028	1468470538-1468498013
276811-276830	193935	1468498533-1468558279
276831-276869	290780	1468568895-1468649865
276870-276934	310295	1468666960-1468746340
276935-276949	168392	1468798834-1468851058
276950-277068	198161	1468851404-1468906254
277069-277075	212763	1468950749-1469000687
277076-277086	79097	1469001586-1469025529
277087-277095	123107	1469036960-1469087430
277096-277111	188309	1469087773-1469136266
277112-277147	108863	1469136573-1469172994
277148-277167	104414	1469183508-1469219285
277168-277193	204638	1469219705-1469284362
277194-277304	195658	1469298310-1469343949
277305-277980	103831	1469409827-1469481983
277981-278017	73169	1470052448-1470105960
278018-278166	115466	1470106320-1470133850
278167-278174	193219	1470249556-1470300153
278175-278239	97466	1470300297-1470368478
278240-278307	142390	1470368813-1470433609
278308-278309	177800	1470488460-1470529511
278310-278344	130452	1470530855-1470583611
278345-278348	91939	1470615232-1470635551
278349-278405	87260	1470638021-1470663165
278406-278508	166930	1470676582-1470713800
278509-278768	152717	1470767381-1470801550
278769-278800	99370	1471070360-1471089118
278801-278807	85510	1471099441-1471115696
278808-278819	179052	1471116317-1471158114
278820-278821	183672	1471172473-1471207806
278822-278872	129525	1471211566-1471249493
278873-278922	128670	1471303573-1471335919
278923-278961	81302	1471349805-1471386568
278962-278968	70213	1471396117-1471408375
278969-278974	177264	1471418226-1471450622
278975-279023	100916	1471450996-1471495984
279024-279114	82063	1471559531-1471650228
279115-279478	110045	1471730908-1471753805
279479-279653	179096	1472099619-1472224648
279654-279666	222465	1472224916-1472278339
279667-279693	180745	1472288933-1472356682
279694-279714	256781	1472356988-1472409087
279715-279715	78912	1472421712-1472436169
279716-279759	168040	1472437026-1472475558
279760-279765	92899	1472502114-1472517491
279766-279793	236778	1472519315-1472576971
279794-279840	186842	1472600486-1472645447
279841-279843	240203	1472657029-1472704737
279844-279930	76014	1472714490-1472779487
279931-281612	303554	1472816280-1472884769
281613-281692	41544	1474783497-1474889917
281693-281706	239045	1474909074-1474960124
281707-281725	127752	1474969741-1474992245
281726-281796	162933	1474992932-1475037247
281797-281975	270473	1475064371-1475210835
281976-282036	224920	1475210936-1475273959
282037-282091	201242	1475274307-1475317712
282092-282707	182214	1475416266-1475467141
282708-282734	128729	1476002424-1476036661
282735-282799	172738	1476036813-1476079309
282800-282813	97666	1476109089-1476125714
282814-282841	175094	1476125991-1476168952
282842-283041	105632	1476182094-1476257530
283042-283051	104059	1476311992-1476340584
283052-283269	75567	1476341173-1476356212
283270-283282	227507	1476470472-1476513241
283283-283304	126247	1476513488-1476554136
283305-283307	101439	1476567760-1476585685
283308-283352	98505	1476586041-1476608138
283353-283357	106851	1476647808-1476665074
283358-283407	148094	1476665473-1476742054
283408-283415	268455	1476742297-1476801403
283416-283477	79416	1476803824-1476828329
283478-283547	119218	1476850489-1476871278
283548-283819	90933	1476917974-1477039328
