273158-273447	141888	1462999437-1463267171
273448-273553	158387	1463267510-1463466223
273554-273727	179348	1463549471-1463769251
273728-274171	168566	1463770947-1464464804
274172-274240	147840	1464482740-1464618654
274241-274249	173192	1464619415-1464661693
274250-274285	161909	1464674153-1464756984
274286-274316	193742	1464757456-1464827568
274317-274337	145490	1464827993-1464881935
274338-274387	222364	1464882081-1464989194
274388-274421	281435	1464989556-1465083634
274422-274439	242047	1465084010-1465135457
274440-274953	189411	1465155190-1465192636
274954-274968	161861	1465638106-1465713263
274969-274970	117655	1465713713-1465738248
274971-274998	180484	1465738449-1465808335
274999-274999	143459	1465808684-1465837605
275000-275058	197815	1465838134-1465889604
275059-275072	185520	1465923011-1465959670
275073-275124	170771	1465961566-1466020602
275125-275283	148811	1466020821-1466127248
275284-275309	157657	1466127412-1466184414
275310-275310	198136	1466184772-1466229724
275311-275337	170705	1466230026-1466295097
275338-275369	144742	1466295335-1466339359
275370-275374	109950	1466353203-1466373471
275375-275375	161318	1466389031-1466419862
275376-275656	285682	1466420102-1466492273
275657-275776	133851	1466739152-1466849122
275777-275831	162489	1466849543-1466883649
275832-275835	128296	1466961482-1466983750
275836-275846	225370	1466983919-1467031274
275847-275885	181882	1467035961-1467088713
275886-275910	183831	1467103237-1467138535
275911-275917	150431	1467165013-1467192243
275918-276241	209862	1467192559-1467354268
276242-276242	206243	1467468346-1467507122
276243-276281	183088	1467507408-1467550228
276282-276282	132587	1467569733-1467594585
276283-276314	116685	1467594861-1467620144
276315-276362	207033	1467631160-1467691171
276363-276436	233292	1467691655-1467752440
276437-276500	330155	1467773959-1467894693
276501-276524	330499	1467895667-1467972526
276525-276526	277527	1467987323-1468052715
276527-276542	138813	1468053280-1468100032
276543-276580	134942	1468100379-1468131705
276581-276584	149594	1468153482-1468184402
276585-276652	170440	1468186280-1468233850
276653-276658	166899	1468282357-1468319749
276659-276775	154708	1468319953-1468385828
276776-276793	164999	1468386148-1468428637
276794-276809	184446	1468429518-1468490917
276810-276830	244036	1468491344-1468558279
276831-276869	321517	1468568895-1468649865
276870-276934	344533	1468666960-1468746340
276935-276949	187640	1468798833-1468851058
276950-277068	219435	1468851404-1468906254
277069-277070	165709	1468950749-1468982733
277071-277086	159320	1468982916-1469025530
277087-277095	137082	1469036960-1469087430
277096-277111	208980	1469087773-1469136266
277112-277147	121636	1469136573-1469172994
277148-277167	116743	1469183508-1469219285
277168-277179	210546	1469219705-1469271512
277180-277304	236026	1469281107-1469343949
277305-278016	116747	1469409827-1469481983
278017-278166	193056	1470094034-1470133850
278167-278174	214194	1470249556-1470300153
278175-278239	108760	1470300297-1470368478
278240-278288	150629	1470368813-1470431802
278289-278309	204570	1470431881-1470529511
278310-278344	144872	1470530855-1470583611
278345-278365	157558	1470615232-1470651891
278366-278508	227564	1470652606-1470713800
278509-278768	170125	1470767381-1470801550
278769-278803	165405	1471070360-1471108575
278804-278819	237605	1471108805-1471158114
278820-278821	203176	1471172473-1471207807
278822-278873	144563	1471211566-1471304923
278874-278922	141327	1471305111-1471335919
278923-278962	141851	1471349805-1471404036
278963-278974	222425	1471404296-1471450622
278975-279028	147539	1471450996-1471566528
279029-279478	176894	1471573179-1471753805
279479-279652	168672	1472099619-1472186330
279653-279715	293267	1472220350-1472436169
279716-279765	289401	1472437026-1472517491
279766-279766	195204	1472519315-1472558539
279767-279840	275081	1472558882-1472645447
279841-279930	351355	1472657029-1472779487
