160431-165547   100290  1300076913-1306150588
165548-166529   100964  1306155947-1307313020
166530-167042   100980  1307338373-1308222928
167043-170895   101048  1308223296-1311236462
170896-172400   103249  1311237268-1312285837
172401-172948   100987  1312286289-1312819546
172949-173663   100327  1312839340-1313928760
173664-176288   101217  1313929171-1315938840
176289-176840   105536  1315939115-1316543113
176841-177182   107364  1316595780-1317014879
177183-177775   112584  1317034558-1317626542
177776-178159   101119  1317666960-1318205699
178160-178723   105230  1318217325-1318686045
178724-179475   109612  1318686696-1319321996
179476-180252   81798   1319322423-1319990874
