273158-273724	4853	1462999492-1463562168
273725-274093	3521	1463711881-1463823174
274094-274243	5640	1464315774-1464646818
274244-274315	4781	1464647881-1464805005
274316-274337	4386	1464805260-1464881891
274338-274387	3563	1464882089-1464989192
274388-274421	4786	1464989561-1465083620
274422-274440	4672	1465084027-1465164500
274441-274968	5110	1465164790-1465713257
274969-274998	4778	1465713714-1465808320
274999-275058	5259	1465808689-1465889579
275059-275123	5236	1465923032-1465988880
275124-275308	4877	1466013083-1466153695
275309-275310	4364	1466171332-1466229693
275311-275369	5346	1466230043-1466339350
275370-275375	4813	1466353207-1466419844
275376-275656	4612	1466420120-1466492273
275657-275831	4968	1466739162-1466883645
275832-275836	4716	1466961498-1467014021
275837-275889	4115	1467014370-1467104091
275890-275912	4806	1467106092-1467180775
275913-276241	4649	1467181220-1467354257
276242-276243	4678	1467468347-1467521603
276244-276314	6787	1467522306-1467620134
276315-276362	4114	1467631188-1467691170
276363-276436	4480	1467691661-1467752427
276437-276453	4728	1467773965-1467823527
276454-276501	7221	1467828502-1467954946
276502-276526	6581	1467955337-1468052712
276527-276544	5071	1468053283-1468126526
276545-276586	5267	1468126775-1468210176
276587-276774	5138	1468210425-1468325788
276775-276793	6089	1468358834-1468428629
276794-276810	4408	1468429520-1468498010
276811-276830	4255	1468498560-1468558263
276831-276833	5485	1468568897-1468630370
276834-276934	8015	1468633329-1468746327
276935-276949	4029	1468798858-1468850447
276950-277069	5296	1468851406-1468957952
277070-277086	5753	1468958055-1469025515
277087-277111	7093	1469036981-1469136265
277112-277167	5140	1469136581-1469219263
277168-277193	4660	1469219714-1469284341
277194-277980	7371	1469298314-1469481962
277981-278166	4429	1470052450-1470133848
278167-278238	4737	1470249586-1470317513
278239-278307	4946	1470353011-1470433609
278308-278314	5260	1470488464-1470547380
278315-278365	5360	1470567446-1470651866
278366-278508	4809	1470652607-1470713798
278509-278800	5920	1470767383-1471089110
278801-278819	5384	1471099445-1471158099
278820-278821	3828	1471172477-1471207806
278822-278922	5122	1471211621-1471335916
278923-278974	6717	1471349830-1471450616
278975-279115	4728	1471451009-1471740374
279116-279653	4824	1471743377-1472224643
279654-279666	4522	1472224920-1472278332
279667-279693	3742	1472288940-1472356678
279694-279714	5252	1472356989-1472409085
279715-279759	4986	1472421732-1472475549
279760-279766	5406	1472502124-1472558539
279767-279840	5040	1472558932-1472645413
279841-279843	4928	1472657038-1472704713
279844-279965	7843	1472714507-1472884761
279966-280014	4499	1472894469-1472960709
280015-280019	5240	1472961327-1473023061
280020-280241	4284	1473023723-1473145708
280242-280250	4911	1473176622-1473224907
280251-280363	5054	1473225300-1473368795
280364-281612	6904	1473369004-1473459423
281613-281706	5613	1474783631-1474960122
281707-281796	5876	1474969743-1475037237
281797-281974	4940	1475064378-1475112174
281975-282032	5054	1475205846-1475261419
282033-282091	4468	1475271121-1475317671
282092-282732	4994	1475416276-1476024638
282733-282799	4911	1476024810-1476079293
282800-282841	5453	1476109099-1476168949
282842-283058	4573	1476182096-1476343755
283059-283282	5959	1476345709-1476513238
283283-283307	4822	1476513502-1476585659
283308-283407	7251	1476586053-1476742043
283408-283415	5606	1476742302-1476801267
283416-283681	4869	1476803828-1477022599
283682-283829	4589	1477022976-1477117458
283830-283875	4729	1477117698-1477184898
283876-283883	5016	1477194030-1477244495
283884-283945	8550	1477266340-1477367735
283946-284013	4985	1477380766-1477454248
